AMDBId;run_material;raw_path;structure_content_id;run_content_id;status
anyt.am-1-41;NdMnO3;7/Runs/ht.task.tetralith--default.NdMnO3_SCF.cleanup.0.unclaimed.3.finished;00e6306ba5de3ac982db007d171b88f9e2e005ee3c014a618535302ff827a253;485414b511f63e449c628e476028f576de0111f078991f3448de6186765856d0;auto
anyt.am-1-42;DyCrO3;3/Runs/ht.task.tetralith--default.DyCrO3_SCF.cleanup.0.unclaimed.3.finished;5a524e5e6054d34c253f14a12347fde02697ab2f8f653b31fa1607b479035682;5de13d979509449b537951611b535954376c6f0532ad7f8dbd1c1ce3c3b00b99;auto
anyt.am-1-43;TmCrO3;9/Runs/ht.task.tetralith--default.TmCrO3_SCF.cleanup.0.unclaimed.3.finished;3a0e1e87f8d558f7a8a45281c8993d94f18f90a8a2c1dd14ae698ca3cdea5284;8adeadd390982439150da307d01074c70b07ad24b9cb201bf58e07cef9ebdf60;auto
anyt.am-1-44;TmVO3-5;10/Runs/ht.task.tetralith--default.TmVO3-5_SCF.cleanup.0.unclaimed.3.finished;1db342a76c942639b27e77555668b4e56965e8de610227f8cde4ab26bb579353;7cab4c2b5d9304e44ca3fe6c468a3d498130d6a92db79b7df728b0c434d5e921;auto
anyt.am-1-46;PrFeO3;8/Runs/ht.task.tetralith--default.PrFeO3_SCF.cleanup.0.unclaimed.3.finished;39343343f86f31ff6a54cdb71ada5a96fb220c1876f91e8b11a66efa5de59b07;9a95c575da88e1216b680a2a160b35aec113e3f366cf9ac05aed6a6f3180490a;auto
anyt.am-1-47;CuFePO5;3/Runs/ht.task.tetralith--default.CuFePO5_SCF.cleanup.0.unclaimed.3.finished;9e0b16b83b9fa6116a99744e6f381d448e70e97f54503e1ac4802f0e07e715d0;f7ac31468d37b435b766c8a8d451f0730bafb4ab1a49abf76a48212c87bdc4f4;auto
anyt.am-1-48;NaOsO3;7/Runs/ht.task.tetralith--default.NaOsO3_SCF.cleanup.0.unclaimed.3.finished;01d8c2d3784f8ed926096c944f0d296acab07569e53744ba64392c5d993438e5;912a956b64266dc8b9b7b5a74d9d4b87bc194209364a7d4779b715f8c501c8ce;auto
anyt.am-1-49;NdFeO3;7/Runs/ht.task.tetralith--default.NdFeO3_SCF.cleanup.0.unclaimed.3.finished;aedf1d3bb4c8f42596b59a49a0ae55240f01b876918e9f6d40b96a9756a24ab0;f6dbc330b64824a56373e2365679c64b865cfe4114bd6f91f051e8817a948a90;auto
anyt.am-1-5;UCr2Si2C;10/Runs/ht.task.tetralith--default.UCr2Si2C_SCF.cleanup.0.unclaimed.3.finished;fa6ad3e30de44033b75d87d027dd24a0b0cdf06a26002d3e52e9dc74639ddd3f;6d503f4e6e4340c32bff2fe1477ca36f385cfe4a0186daae4a2bcdb5243503ad;auto
anyt.am-1-50;Fe2SiO4;4/Runs/ht.task.tetralith--default.Fe2SiO4_SCF.cleanup.0.unclaimed.3.finished;5c4a077285c33d1585e1b58a9e46dd8d8b77b95ab6c2d5c7cdec5d96bcd5681f;484d7fcb35bce1d5f5a222caba05854ac24be95718ccce5f2c15290c98e991fa;auto
anyt.am-1-51;LaMnO3;6/Runs/ht.task.tetralith--default.LaMnO3_SCF.cleanup.0.unclaimed.3.finished;3c26656a5b84b52a93dc136ab522be46e6626f7d80a9d157fa215ad3f4b4dcf5;962ac24a1c4929e4ec42a3e89927a8dcea33989588e56078e8f07e3637767e5e;auto
anyt.am-1-52;TbCrO3;9/Runs/ht.task.tetralith--default.TbCrO3_SCF.cleanup.0.unclaimed.3.finished;729bc686090e41cce95432df28f7a9c81e9741f812e846187a3136a4db4ff4a6;7efe9dc636e31b362882ce934ebbb857e2bc61e954b551aee10ff8ea3cbe06a7;auto
anyt.am-1-53;CoCO3;2/Runs/ht.task.tetralith--default.CoCO3_SCF.cleanup.0.unclaimed.3.finished;03d3aef2d83a247eab16defab65a1ceb549ecbc23dc694bf93a92df863971e7b;2278315944b43c849c36dacd2448e14e0af585c686e59c145bf97ab84dd55e86;auto
anyt.am-1-54;TmFeO3;9/Runs/ht.task.tetralith--default.TmFeO3_SCF.cleanup.0.unclaimed.3.finished;7c5ca220d3d9a542eebf1a66b3c3fa42171f3bf5175723e709e100b65875c18e;347ad3249fada92e9f44817eab2496f57c0cb06cfb482165a5c899667995e60d;auto
anyt.am-1-55;Cu2O3Cl;3/Runs/ht.task.tetralith--default.Cu2O3Cl_SCF.cleanup.0.unclaimed.3.finished;717215f979e72a774bad11ce5a22617ae16f5f042db0f48d3825a1748b8271e8;faf04b9ff14ce98f6f05888d2bfa21048859518fc0b2543e2e3983c78c9152b2;auto
